timestamp,"200, azet.sk: count(campaign)","200, centrum.sk: count(campaign)","200, gmail.com: count(campaign)","200, hotmail.com: count(campaign)","200, icloud.com: count(campaign)","200, seznam.cz: count(campaign)","200, stonline.sk: count(campaign)","200, yahoo.com: count(campaign)","200, zoznam.sk: count(campaign)","200, (other): count(campaign)","421, azet.sk: count(campaign)","421, centrum.sk: count(campaign)","421, icloud.com: count(campaign)","421, seznam.cz: count(campaign)","421, zoznam.sk: count(campaign)","421, (other): count(campaign)","451, centrum.sk: count(campaign)","451, hotmail.com: count(campaign)","451, icloud.com: count(campaign)","451, zoznam.sk: count(campaign)","451, (other): count(campaign)","452, gmail.com: count(campaign)","452, (other): count(campaign)","499, azet.sk: count(campaign)","499, centrum.sk: count(campaign)","499, seznam.cz: count(campaign)","499, zoznam.sk: count(campaign)","499, (other): count(campaign)","550, gmail.com: count(campaign)","550, hotmail.com: count(campaign)","550, icloud.com: count(campaign)","550, seznam.cz: count(campaign)","550, zoznam.sk: count(campaign)","550, (other): count(campaign)","552, gmail.com: count(campaign)","552, seznam.cz: count(campaign)","552, (other): count(campaign)","554, azet.sk: count(campaign)","554, centrum.sk: count(campaign)","554, stonline.sk: count(campaign)","554, yahoo.com: count(campaign)","554, (other): count(campaign)","605, azet.sk: count(campaign)","605, centrum.sk: count(campaign)","605, gmail.com: count(campaign)","605, hotmail.com: count(campaign)","605, icloud.com: count(campaign)","605, seznam.cz: count(campaign)","605, stonline.sk: count(campaign)","605, yahoo.com: count(campaign)","605, zoznam.sk: count(campaign)","605, (other): count(campaign)","(other), azet.sk: count(campaign)","(other), centrum.sk: count(campaign)","(other), gmail.com: count(campaign)","(other), hotmail.com: count(campaign)","(other), yahoo.com: count(campaign)","(other), zoznam.sk: count(campaign)","(other), (other): count(campaign)"
1521414000,79,43,1073,27,4,24,15,32,27,315,0,0,0,0,0,0,1,0,0,0,2,29,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
1521500400,65,39,928,21,3,23,15,45,24,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1521586800,10825,1138,104158,3809,429,2141,859,3805,403,19729,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,61,22,0,0,9,1,1,3,4,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1521673200,91,41,1429,32,7,28,26,65,28,407,0,0,0,0,0,0,1,0,0,0,2,29,0,0,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
1521759600,10853,1145,104286,3805,430,2149,849,3800,402,19838,3,0,0,0,1,0,8,0,0,0,4,32,0,0,4,0,0,3,9,0,0,0,0,20,21,0,0,0,1,0,0,2,12,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,2
1521846000,58,8,772,21,6,8,5,32,3,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1521932400,37,12,755,21,4,8,10,20,1,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1522015200,10492,1170,104906,3829,430,2164,856,3817,418,19913,11,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,6,0,0,0,0,6,21,0,1,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1522101600,419,49,1491,40,4,23,28,66,25,412,50,0,0,0,0,1,0,0,0,0,1,32,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1522188000,10773,1122,103674,3802,433,2140,840,3766,232,19529,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,21,21,0,1,19,0,0,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1522274400,286,82,4834,167,28,56,58,216,105,1162,0,0,0,0,7,2,0,0,0,1,3,33,2,0,2,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,69,12
1522360800,27,11,559,18,2,5,4,25,4,138,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1522447200,29,11,494,18,2,6,4,22,6,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1522533600,10372,1131,103699,3791,430,2138,836,3774,316,19516,50,0,0,0,0,0,1,0,0,0,4,35,4,2,1,0,0,7,3,0,0,0,2,9,22,0,2,0,0,0,0,1,15,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
1522620000,319,9,692,18,6,10,6,29,2,147,46,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1522706400,10691,1120,103970,3813,430,2145,839,3772,332,19598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,5,24,0,2,0,0,0,0,3,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1522792800,161,72,1375,25,10,32,25,55,23,405,8,0,0,0,0,0,4,0,0,0,3,34,1,0,0,0,0,2,2,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
1522879200,42,9,976,30,2,19,24,34,2,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1522965600,10779,1107,104232,3803,434,2155,840,3773,333,19671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,10,24,1,1,0,3,1,0,1,9,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1523052000,54,16,805,19,6,13,13,25,6,171,1,0,0,0,0,0,0,0,0,0,6,35,1,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1523138400,66,21,953,18,4,16,15,43,13,195,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523224800,10762,1031,104857,3821,438,2174,849,3799,352,19912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,24,0,0,0,1,0,0,2,14,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523311200,95,33,939,30,2,23,21,38,22,275,1,0,0,0,0,0,0,0,0,0,0,38,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1523397600,10778,948,104583,3811,435,2155,841,3785,338,19705,13,0,0,0,0,0,12,0,0,0,2,0,0,0,27,0,0,4,6,0,0,0,0,5,24,0,0,0,1,0,0,5,9,19,0,0,0,0,0,0,0,0,0,17,0,0,0,0,1
1523484000,87,62,1329,24,4,39,28,56,39,350,1,0,0,0,0,0,0,0,0,0,0,35,1,0,0,0,0,3,4,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
